totallines,i,refractiveindex,bigradius,a,b,z,anglez,c,anglea,incidentangle,refractiveangle,anglede,dx,ee,et,ex,ey,anglece,angleced,outangle,mycolor
10,1,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,8,5.32368,43.2667,-2.10427,0.523916,6.60676,2.70658,7.52824,70.2253,26.9586,42.8452,orange
10,2,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,13,8.62504,39.9653,-1.71185,0.614956,6.62713,3.3674,7.25676,65.107,25.1416,39.5898,yellow
10,3,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,18,11.8887,36.7017,-1.26694,0.777167,6.57122,4.00159,6.92728,59.9868,23.2851,36.3674,green
10,4,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,23,15.099,33.4914,-0.757517,1.02369,6.4244,4.60024,6.54506,54.8983,21.4069,33.1946,blue
10,5,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,28,18.239,30.3514,-0.168175,1.37078,6.16916,5.15546,6.11729,49.8769,19.5255,30.0886,red
10,6,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,33,21.2903,27.3001,0.520859,1.8388,5.78419,5.66078,5.65293,44.9602,17.6601,27.0684,orange
10,7,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,38,24.2325,24.3578,1.33492,2.4534,5.24317,6.11138,5.16246,40.1888,15.8309,24.1545,yellow
10,8,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,43,27.0434,21.547,2.30617,3.2468,4.51356,6.50432,4.65767,35.606,14.0591,21.3696,green
10,9,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,48,29.6981,18.8923,3.47464,4.25882,3.55555,6.83865,4.15125,31.2589,12.3667,18.7386,blue
10,10,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,53,32.1694,16.421,4.88783,5.53654,2.32236,7.11547,3.65652,27.1978,10.7768,16.2886,red
