totallines,i,refractiveindex,bigradius,a,b,z,anglez,c,anglea,incidentangle,refractiveangle,anglede,dx,ee,et,ex,ey,anglece,angleced,outangle,mycolor
500,351,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,38.1,24.2901,24.3003,1.35268,2.46739,5.23055,6.11981,5.15247,40.0951,15.7949,24.0975,lime
500,352,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,38.2,24.3477,24.2427,1.37051,2.48146,5.21785,6.12822,5.14246,40.0015,15.7588,24.0405,brown
500,353,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,38.3,24.4051,24.1852,1.3884,2.4956,5.20507,6.1366,5.13246,39.908,15.7228,23.9836,olive
500,354,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,38.4,24.4626,24.1278,1.40635,2.50981,5.19222,6.14496,5.12244,39.8146,15.6868,23.9267,blue
500,355,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,38.5,24.5199,24.0704,1.42437,2.52409,5.1793,6.1533,5.11243,39.7213,15.6508,23.8699,cyan
500,356,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,38.6,24.5772,24.0131,1.44245,2.53845,5.16629,6.16162,5.1024,39.628,15.6149,23.8131,teal
500,357,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,38.7,24.6345,23.9559,1.4606,2.55288,5.15321,6.16991,5.09237,39.5348,15.5789,23.7564,lightgray 
500,358,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,38.8,24.6917,23.8987,1.47881,2.56738,5.14005,6.17817,5.08234,39.4417,15.543,23.6997,gray
500,359,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,38.9,24.7489,23.8415,1.49709,2.58196,5.12682,6.18642,5.0723,39.3486,15.5071,23.6431,darkgray
500,360,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,39,24.806,23.7844,1.51543,2.59661,5.1135,6.19464,5.06226,39.2557,15.4713,23.5865,black
500,361,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,39.1,24.863,23.7273,1.53384,2.61134,5.10011,6.20284,5.05221,39.1628,15.4354,23.53,red
500,362,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,39.2,24.92,23.6703,1.55231,2.62614,5.08664,6.21101,5.04215,39.07,15.3996,23.4735,purple
500,363,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,39.3,24.977,23.6134,1.57085,2.64101,5.07309,6.21917,5.0321,38.9773,15.3639,23.4171,magenta
500,364,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,39.4,25.0339,23.5565,1.58945,2.65596,5.05946,6.22729,5.02203,38.8846,15.3281,23.3607,pink
500,365,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,39.5,25.0907,23.4997,1.60813,2.67098,5.04576,6.2354,5.01197,38.7921,15.2924,23.3044,violet
500,366,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,39.6,25.1475,23.4429,1.62686,2.68608,5.03197,6.24348,5.0019,38.6996,15.2567,23.2482,white
500,367,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,39.7,25.2042,23.3862,1.64567,2.70126,5.0181,6.25154,4.99182,38.6072,15.221,23.192,orange
