totallines,i,refractiveindex,bigradius,a,b,z,anglez,c,anglea,incidentangle,refractiveangle,anglede,dx,ee,et,ex,ey,anglece,angleced,outangle,mycolor
500,451,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,48.1,29.7494,18.841,3.50033,4.28161,3.53375,6.84474,4.1412,31.1747,12.3338,18.6877,teal
500,452,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,48.2,29.8007,18.7897,3.52613,4.3045,3.51184,6.85081,4.13115,31.0906,12.3009,18.6369,lightgray 
500,453,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,48.3,29.8518,18.7385,3.55202,4.32749,3.48982,6.85686,4.1211,31.0067,12.2681,18.5862,gray
500,454,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,48.4,29.9029,18.6874,3.57801,4.3506,3.46768,6.86288,4.11106,30.9228,12.2354,18.5355,darkgray
500,455,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,48.5,29.954,18.6364,3.6041,4.37381,3.44544,6.86888,4.10103,30.8391,12.2027,18.4849,black
500,456,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,48.6,30.0049,18.5855,3.6303,4.39713,3.42308,6.87486,4.091,30.7555,12.17,18.4344,red
500,457,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,48.7,30.0558,18.5346,3.65659,4.42056,3.40061,6.88082,4.08098,30.672,12.1374,18.384,purple
500,458,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,48.8,30.1066,18.4838,3.68298,4.4441,3.37803,6.88675,4.07096,30.5886,12.1048,18.3337,magenta
500,459,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,48.9,30.1573,18.4331,3.70947,4.46774,3.35533,6.89266,4.06095,30.5053,12.0722,18.2834,pink
500,460,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,49,30.2079,18.3824,3.73607,4.4915,3.33252,6.89854,4.05094,30.4222,12.0397,18.2332,violet
500,461,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,49.1,30.2585,18.3319,3.76276,4.51537,3.3096,6.90441,4.04094,30.3391,12.0073,18.183,white
500,462,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,49.2,30.309,18.2814,3.78956,4.53935,3.28656,6.91025,4.03094,30.2562,11.9748,18.133,orange
500,463,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,49.3,30.3594,18.2309,3.81647,4.56343,3.26341,6.91606,4.02095,30.1734,11.9425,18.083,yellow
500,464,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,49.4,30.4098,18.1806,3.84347,4.58763,3.24014,6.92186,4.01097,30.0907,11.9101,18.0331,green
500,465,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,49.5,30.46,18.1303,3.87058,4.61195,3.21676,6.92763,4.00099,30.0082,11.8779,17.9833,lime
500,466,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,49.6,30.5102,18.0801,3.89779,4.63637,3.19326,6.93338,3.99102,29.9258,11.8456,17.9335,brown
500,467,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,49.7,30.5603,18.03,3.92511,4.66091,3.16965,6.93911,3.98106,29.8434,11.8134,17.8838,olive
500,468,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,49.8,30.6104,17.98,3.95253,4.68556,3.14592,6.94481,3.9711,29.7613,11.7813,17.8342,blue
500,469,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,49.9,30.6603,17.93,3.98005,4.71032,3.12207,6.95049,3.96115,29.6792,11.7492,17.7847,cyan
500,470,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,50,30.7102,17.8802,4.00769,4.7352,3.0981,6.95615,3.9512,29.5972,11.7171,17.7352,teal
500,471,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,50.1,30.76,17.8304,4.03542,4.76019,3.07401,6.96179,3.94126,29.5154,11.6851,17.6859,lightgray 
500,472,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,50.2,30.8097,17.7806,4.06327,4.7853,3.04981,6.9674,3.93133,29.4337,11.6531,17.6366,gray
500,473,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,50.3,30.8594,17.731,4.09122,4.81052,3.02549,6.97299,3.92141,29.3521,11.6212,17.5874,darkgray
500,474,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,50.4,30.909,17.6814,4.11928,4.83586,3.00105,6.97856,3.91149,29.2707,11.5893,17.5382,black
